LOCATION	Country	VARIABLE	Variable	FREQUENCY	Frequency	TIME	Time	Unit Code	Unit	PowerCode Code	PowerCode	Reference Period Code	Reference Period	Value	Flag Codes	Flags
AUS	Austrália	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2016_17	2016-17	-6.33420748571838		
AUT	Áustria	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2010	2010	-7.54216696158088		
BEL	Bélgica	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2015	2015	-11.2320546315249		
CAN	Canadá	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2012	2012	-9.43209698347908		
CZE	República Checa	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2010	2010	-13.2402068471259		
DNK	Dinamarca	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2010	2010	-7.05902163760248		
FIN	Finlândia	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2010	2010	-9.16549861243775		
FRA	França	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2014	2014	-14.0743432414708		
DEU	Alemanha	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2015	2015	-8.7584393909258		
GRC	Grécia	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2010	2010	-9.83804999530992		
HUN	Hungria	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2005	2005	-9.95130148751596		
ISL	Islândia	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2005	2005	-11.1828999110431		
IRL	Irlanda	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2017	2017	-8.74377985653448		
ITA	Itália	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2010	2010	-14.0068853407922		
JPN	Japão	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2011	2011	-7.32236470739019		
KOR	Coréia	GDPV_ANNPCT	Gross domestic product, volume, growth	A	Annual	2020	2020	PC	Percentage	0	Units	2015	2015	-2.46867198526565		
